customer_name,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer_Segment
Keith Dawkins,47,40,26451.0,1,5,5,155,At Risk
Keith Herrera,16,33,16890.0,3,3,4,334,Regular Customers
Kelly Andreada,17,42,18876.0,3,5,4,354,Regular Customers
Kelly Collister,34,32,19401.0,2,3,4,234,At Risk
Kelly Lampkin,16,33,14248.0,3,3,3,333,Regular Customers
Kelly Williams,23,40,11833.0,3,5,2,352,Regular Customers
Ken Black,94,29,16602.0,1,2,4,124,Regular Customers
Ken Brennan,2,36,11465.0,5,4,1,541,Loyal Customers
Ken Dana,76,27,12553.0,1,1,2,112,Lost Customers
Ken Heidel,9,32,9021.0,4,3,1,431,Regular Customers
Ken Lonsdale,1,33,24127.0,5,3,5,535,Potential Loyalists
Khloe Miller,16,32,10973.0,3,3,1,331,Regular Customers
Kimberly Carter,3,26,13923.0,5,1,2,512,Regular Customers
Kristen Hastings,3,46,19856.0,5,5,4,554,Champions
Kristina Nunn,99,24,10715.0,1,1,1,111,Lost Customers
Kunst Miller,29,26,16968.0,2,1,4,214,Regular Customers
Larry Blacks,10,36,14583.0,4,4,3,443,Loyal Customers
Larry Hughes,13,27,8693.0,4,1,1,411,Regular Customers
Larry Tron,7,34,18619.0,4,4,4,444,Loyal Customers
Laura Armstrong,2,46,27864.0,5,5,5,555,Champions
Laurel Beltran,40,39,26387.0,1,5,5,155,At Risk
Laurel Elliston,15,30,11477.0,3,2,1,321,Regular Customers
Laurel Workman,23,31,10873.0,3,3,1,331,Regular Customers
Lauren Leatherbury,27,35,14939.0,2,4,3,243,At Risk
Lela Donovan,43,38,16181.0,1,5,3,153,At Risk
Lena Cacioppo,24,29,11078.0,2,2,1,221,Lost Customers
Lena Creighton,17,38,18889.0,3,5,4,354,Regular Customers
Lena Hernandez,22,32,12941.0,3,3,2,332,Regular Customers
Lena Radford,27,29,22903.0,2,2,5,225,Regular Customers
Linda Cazamias,42,35,16738.0,1,4,4,144,At Risk
Linda Southworth,7,32,13145.0,4,3,2,432,Regular Customers
Lindsay Castell,3,30,14301.0,5,2,3,523,Potential Loyalists
Lindsay Shagiari,21,27,9366.0,3,1,1,311,Regular Customers
Lindsay Williams,15,34,10982.0,3,4,1,341,Regular Customers
Lisa DeCherney,44,33,11824.0,1,3,2,132,At Risk
Lisa Hazard,42,21,9164.0,1,1,1,111,Lost Customers
Lisa Ryan,46,35,18799.0,1,4,4,144,At Risk
Liz Carlisle,5,30,20127.0,5,2,5,525,Potential Loyalists
Liz MacKendrick,8,22,15531.0,4,1,3,413,Potential Loyalists
Liz Pelletier,41,31,9465.0,1,3,1,131,At Risk
Liz Preis,1,30,16611.0,5,2,4,524,Potential Loyalists
Liz Thompson,35,32,21217.0,2,3,5,235,At Risk
Liz Willingham,34,25,8045.0,2,1,1,211,Lost Customers
Logan Currie,14,36,16082.0,3,4,3,343,Regular Customers
Logan Haushalter,76,37,17288.0,1,4,4,144,At Risk
Lori Olson,3,35,13541.0,5,4,2,542,Loyal Customers
Luke Foster,23,27,13422.0,3,1,2,312,Regular Customers
Luke Schmidt,16,28,15599.0,3,2,3,323,Regular Customers
Luke Weiss,22,29,12051.0,3,2,2,322,Regular Customers
Lycoris Saunders,5,34,11739.0,5,4,2,542,Loyal Customers
Lynn Smith,35,30,11713.0,2,2,2,222,Lost Customers
Magdelene Morse,5,31,21226.0,5,3,5,535,Potential Loyalists
Marc Crier,45,39,15988.0,1,5,3,153,At Risk
Marc Harrigan,38,28,15401.0,1,2,3,123,Regular Customers
Maria Bertelson,2,35,21607.0,5,4,5,545,Champions
Maria Etezadi,6,40,26252.0,5,5,5,555,Champions
Maria Zettner,22,31,17960.0,3,3,4,334,Regular Customers
Maribeth Dona,27,36,17829.0,2,4,4,244,At Risk
Maribeth Schnelling,6,39,21681.0,5,5,5,555,Champions
Maribeth Yedwab,30,32,16472.0,2,3,4,234,At Risk
Marina Lichtenstein,1,32,15555.0,5,3,3,533,Potential Loyalists
Maris LaWare,34,33,15175.0,2,3,3,233,At Risk
Mark Cousins,24,35,16548.0,2,4,4,244,At Risk
Mark Haberlin,9,33,11304.0,4,3,1,431,Regular Customers
Mark Hamilton,55,37,14724.0,1,4,3,143,At Risk
Mark Packer,6,30,12987.0,5,2,2,522,Regular Customers
Mark Van Huff,17,32,11518.0,3,3,1,331,Regular Customers
Mary O'Rourke,37,29,11126.0,2,2,1,221,Lost Customers
Mary Zewe,24,34,16577.0,2,4,4,244,At Risk
MaryBeth Skach,16,33,14790.0,3,3,3,333,Regular Customers
Mathew Reese,98,29,21575.0,1,2,5,125,Regular Customers
Matt Abelman,65,28,12447.0,1,2,2,122,Lost Customers
Matt Collins,10,41,17897.0,4,5,4,454,Loyal Customers
Matt Collister,52,28,11674.0,1,2,2,122,Lost Customers
Matt Connell,50,28,13230.0,1,2,2,122,Lost Customers
Matt Hagelstein,24,27,12217.0,2,1,2,212,Lost Customers
Matthew Clasen,6,38,21805.0,5,5,5,555,Champions
Matthew Grinstein,20,22,13017.0,3,1,2,312,Regular Customers
Maureen Fritzler,49,32,13529.0,1,3,2,132,At Risk
Maureen Gastineau,37,37,20363.0,2,4,5,245,At Risk
Maureen Gnade,1,32,18326.0,5,3,4,534,Potential Loyalists
Maurice Satty,30,34,10031.0,2,4,1,241,At Risk
Max Engle,12,39,9924.0,4,5,1,451,Loyal Customers
Max Jones,22,30,16486.0,3,2,4,324,Regular Customers
Max Ludwig,2,35,15534.0,5,4,3,543,Loyal Customers
Maxwell Schwartz,35,42,17928.0,2,5,4,254,At Risk
Maya Herman,1,35,13592.0,5,4,2,542,Loyal Customers
Meg O'Connel,7,34,18003.0,4,4,4,444,Loyal Customers
Meg Tillman,50,33,15346.0,1,3,3,133,At Risk
Melanie Seite,5,34,16104.0,5,4,3,543,Loyal Customers
Michael Chen,2,35,15939.0,5,4,3,543,Loyal Customers
Michael Dominguez,37,33,22427.0,2,3,5,235,At Risk
Michael Grace,6,34,14532.0,5,4,3,543,Loyal Customers
Michael Granlund,6,30,13185.0,5,2,2,522,Regular Customers
Michael Kennedy,22,42,14447.0,3,5,3,353,Regular Customers
Michael Moore,8,39,21730.0,4,5,5,455,Champions
Michael Nguyen,9,27,15047.0,4,1,3,413,Potential Loyalists
Michael Oakman,7,17,5464.0,4,1,1,411,Regular Customers
Michael Paige,28,47,17796.0,2,5,4,254,At Risk
Michael Stewart,7,32,17869.0,4,3,4,434,Potential Loyalists
Michelle Arnett,17,33,11933.0,3,3,2,332,Regular Customers
Michelle Ellison,43,28,10708.0,1,2,1,121,Lost Customers
Michelle Huthwaite,15,28,12851.0,3,2,2,322,Regular Customers
Michelle Lonsdale,8,26,10367.0,4,1,1,411,Regular Customers
Michelle Moray,16,33,13089.0,3,3,2,332,Regular Customers
Michelle Tran,128,31,17779.0,1,3,4,134,At Risk
Mick Brown,12,38,16451.0,4,5,4,454,Loyal Customers
Mick Crebagga,42,36,12014.0,1,4,2,142,At Risk
Mick Hernandez,6,33,13275.0,5,3,2,532,Regular Customers
Mike Caudle,52,28,9355.0,1,2,1,121,Lost Customers
Mike Gockenbach,3,27,23378.0,5,1,5,515,Potential Loyalists
Mike Kennedy,23,30,12741.0,3,2,2,322,Regular Customers
Mike Pelletier,17,42,24216.0,3,5,5,355,Regular Customers
Mike Vittorini,8,38,19572.0,4,5,4,454,Loyal Customers
Mitch Gastineau,2,36,18010.0,5,4,4,544,Loyal Customers
Mitch Webber,18,36,23070.0,3,4,5,345,Regular Customers
Mitch Willingham,1,30,19008.0,5,2,4,524,Potential Loyalists
Monica Federle,8,38,21944.0,4,5,5,455,Champions
Muhammed Lee,9,35,15851.0,4,4,3,443,Loyal Customers
Muhammed MacIntyre,13,35,10720.0,4,4,1,441,Loyal Customers
Muhammed Yedwab,1,39,29644.0,5,5,5,555,Champions
Nancy Lomonaco,26,27,10840.0,2,1,1,211,Lost Customers
Naresj Patel,2,33,13118.0,5,3,2,532,Regular Customers
Nat Carroll,6,31,16613.0,5,3,4,534,Potential Loyalists
Nat Gilpin,49,28,12015.0,1,2,2,122,Lost Customers
Natalie DeCherney,13,29,13709.0,4,2,2,422,Regular Customers
Natalie Fritzler,2,43,31778.0,5,5,5,555,Champions
Natalie Webber,118,33,22374.0,1,3,5,135,At Risk
Nathan Cano,40,24,10759.0,1,1,1,111,Lost Customers
Nathan Gelder,19,36,22721.0,3,4,5,345,Regular Customers
Nathan Mautz,31,41,24278.0,2,5,5,255,At Risk
Neil Ducich,6,32,14780.0,5,3,3,533,Potential Loyalists
Neil Französisch,7,29,12649.0,4,2,2,422,Regular Customers
Neil Knudson,27,28,13875.0,2,2,2,222,Lost Customers
Neola Schneider,7,30,15801.0,4,2,3,423,Potential Loyalists
Neoma Murray,20,28,13872.0,3,2,2,322,Regular Customers
Nick Crebassa,7,29,12302.0,4,2,2,422,Regular Customers
Nick Radford,3,34,12891.0,5,4,2,542,Loyal Customers
Nick Zandusky,86,30,20271.0,1,2,5,125,Regular Customers
Nicole Brennan,429,17,5935.0,1,1,1,111,Lost Customers
Nicole Fjeld,12,27,12268.0,4,1,2,412,Regular Customers
Nicole Hansen,6,28,21304.0,5,2,5,525,Potential Loyalists
Noah Childs,21,31,17346.0,3,3,4,334,Regular Customers
Noel Staavos,37,45,16643.0,2,5,4,254,At Risk
Nona Balk,20,27,10082.0,3,1,1,311,Regular Customers
Nora Paige,59,25,15714.0,1,1,3,113,Regular Customers
Nora Pelletier,15,34,16358.0,3,4,3,343,Regular Customers
Nora Preis,29,33,15921.0,2,3,3,233,At Risk
Odella Nelson,48,38,19273.0,1,5,4,154,At Risk
Olvera Toch,34,36,19759.0,2,4,4,244,At Risk
Pamela Coakley,3,26,11940.0,5,1,2,512,Regular Customers
Pamela Stobb,30,33,17635.0,2,3,4,234,At Risk
Parhena Norris,16,38,12893.0,3,5,2,352,Regular Customers
Patricia Hirasaki,58,27,11182.0,1,1,1,111,Lost Customers
Patrick Bzostek,9,28,14858.0,4,2,3,423,Potential Loyalists
Patrick Gardner,21,41,16481.0,3,5,4,354,Regular Customers
Patrick Jones,40,25,14442.0,1,1,3,113,Regular Customers
Patrick O'Brill,5,45,26712.0,5,5,5,555,Champions
Patrick O'Donnell,1,41,24025.0,5,5,5,555,Champions
Patrick Ryan,26,34,14330.0,2,4,3,243,At Risk
Paul Gonzalez,3,34,15922.0,5,4,3,543,Loyal Customers
Paul Knutson,99,20,8232.0,1,1,1,111,Lost Customers
Paul Lucas,16,23,15015.0,3,1,3,313,Regular Customers
Paul MacIntyre,22,32,14346.0,3,3,3,333,Regular Customers
Paul Prost,15,33,22247.0,3,3,5,335,Regular Customers
Paul Stevenson,28,37,19620.0,2,5,4,254,At Risk
Paul Van Hugh,9,34,18932.0,4,4,4,444,Loyal Customers
Pauline Chand,22,22,10633.0,3,1,1,311,Regular Customers
Pauline Johnson,20,30,15845.0,3,2,3,323,Regular Customers
Pauline Webber,8,38,13888.0,4,5,2,452,Loyal Customers
Penelope Sewall,21,33,30083.0,3,3,5,335,Regular Customers
Pete Armstrong,24,27,10395.0,2,1,1,211,Lost Customers
Pete Kriz,9,32,18657.0,4,3,4,434,Potential Loyalists
Pete Takahito,3,30,13054.0,5,2,2,522,Regular Customers
Peter Bühler,1,20,9897.0,5,1,1,511,Regular Customers
Peter Fuller,84,38,29876.0,1,5,5,155,At Risk
Peter McVee,13,28,11288.0,4,2,1,421,Regular Customers
Philip Brown,6,43,11386.0,5,5,1,551,Loyal Customers
Philip Fox,35,43,18031.0,2,5,4,254,At Risk
Philisse Overcash,30,33,17984.0,2,3,4,234,At Risk
Phillina Ober,34,29,19099.0,2,2,4,224,Regular Customers
Phillip Breyer,9,34,24269.0,4,4,5,445,Loyal Customers
Phillip Flathmann,3,37,13392.0,5,5,2,552,Loyal Customers
Pierre Wener,2,31,8422.0,5,3,1,531,Regular Customers
Quincy Jones,26,28,18585.0,2,2,4,224,Regular Customers
Rachel Payne,8,32,14998.0,4,3,3,433,Potential Loyalists
Ralph Arnett,6,38,23044.0,5,5,5,555,Champions
Ralph Kennedy,29,30,13998.0,2,2,3,223,Regular Customers
Ralph Ritter,20,25,13584.0,3,1,2,312,Regular Customers
Randy Bradley,16,40,22898.0,3,5,5,355,Regular Customers
Randy Ferguson,7,32,16598.0,4,3,4,434,Potential Loyalists
Raymond Buch,21,29,29601.0,3,2,5,325,Regular Customers
Raymond Messe,10,32,18317.0,4,3,4,434,Potential Loyalists
Resi Pölking,16,41,22053.0,3,5,5,355,Regular Customers
Ricardo Emerson,29,27,14039.0,2,1,3,213,Regular Customers
Ricardo Sperren,34,35,14432.0,2,4,3,243,At Risk
Richard Bierner,20,34,14797.0,3,4,3,343,Regular Customers
Richard Eichhorn,16,30,16340.0,3,2,3,323,Regular Customers
Rick Bensley,1,39,20854.0,5,5,5,555,Champions
Rick Duston,1,33,17546.0,5,3,4,534,Potential Loyalists
Rick Hansen,25,31,16356.0,2,3,3,233,At Risk
Rick Huthwaite,21,32,13438.0,3,3,2,332,Regular Customers
Rick Reed,1,34,16382.0,5,4,4,544,Loyal Customers
Rick Wilson,27,32,25125.0,2,3,5,235,At Risk
Ritsa Hightower,8,29,17695.0,4,2,4,424,Potential Loyalists
Rob Beeghly,21,30,11549.0,3,2,2,322,Regular Customers
Rob Dowd,26,38,21482.0,2,5,5,255,At Risk
Rob Haberlin,7,29,7970.0,4,2,1,421,Regular Customers
Rob Lucas,121,31,17289.0,1,3,4,134,At Risk
Rob Williams,78,28,9988.0,1,2,1,121,Lost Customers
Robert Barroso,151,25,6256.0,1,1,1,111,Lost Customers
Robert Dilbeck,28,30,16344.0,2,2,3,223,Regular Customers
Robert Marley,5,27,12868.0,5,1,2,512,Regular Customers
Robert Waldorf,16,33,12596.0,3,3,2,332,Regular Customers
Roger Barcio,17,28,15304.0,3,2,3,323,Regular Customers
Roger Demir,22,38,14738.0,3,5,3,353,Regular Customers
Roland Fjeld,2,26,13090.0,5,1,2,512,Regular Customers
Roland Murray,17,26,7403.0,3,1,1,311,Regular Customers
Roland Schwarz,37,31,15108.0,2,3,3,233,At Risk
Rose O'Brian,5,38,21912.0,5,5,5,555,Champions
Ross Baird,31,40,19314.0,2,5,4,254,At Risk
Ross DeVincentis,15,37,10302.0,3,5,1,351,Regular Customers
Roy Collins,119,26,7956.0,1,1,1,111,Lost Customers
Roy Französisch,7,37,15652.0,4,5,3,453,Loyal Customers
Roy Phan,22,33,14610.0,3,3,3,333,Regular Customers
Roy Skaria,20,28,8121.0,3,2,1,321,Regular Customers
Ruben Ausman,44,31,15939.0,1,3,3,133,At Risk
Ruben Dartt,33,39,18320.0,2,5,4,254,At Risk
Russell Applegate,13,29,21398.0,4,2,5,425,Potential Loyalists
Russell D'Ascenzo,29,33,15819.0,2,3,3,233,At Risk
Ryan Akin,2,32,13742.0,5,3,2,532,Regular Customers
Ryan Crowe,23,27,9539.0,3,1,1,311,Regular Customers
Sally Hughsby,26,37,18951.0,2,5,4,254,At Risk
Sally Knutson,9,26,13292.0,4,1,2,412,Regular Customers
Sally Matthias,105,30,13063.0,1,2,2,122,Lost Customers
Sam Craven,9,38,11056.0,4,5,1,451,Loyal Customers
Sam Zeldin,14,41,16361.0,3,5,3,353,Regular Customers
Sample Company A,41,37,19129.0,1,5,4,154,At Risk
Sandra Flanagan,59,29,11259.0,1,2,1,121,Lost Customers
Sandra Glassco,4,23,11853.0,5,1,2,512,Regular Customers
Sanjit Chand,76,35,26524.0,1,4,5,145,At Risk
Sanjit Engle,10,39,30143.0,4,5,5,455,Champions
Sanjit Jacobs,33,39,13521.0,2,5,2,252,At Risk
Saphhira Shifley,16,39,23632.0,3,5,5,355,Regular Customers
Sara Luxemburg,30,46,16827.0,2,5,4,254,At Risk
Sarah Bern,3,20,14603.0,5,1,3,513,Potential Loyalists
Sarah Brown,75,38,22300.0,1,5,5,155,At Risk
Sarah Foster,6,36,15659.0,5,4,3,543,Loyal Customers
Sarah Jordon,29,41,16070.0,2,5,3,253,At Risk
Scot Coram,17,28,22129.0,3,2,5,325,Regular Customers
Scot Wooten,13,30,15479.0,4,2,3,423,Potential Loyalists
Scott Cohen,1,33,12537.0,5,3,2,532,Regular Customers
Scott Williamson,22,38,17044.0,3,5,4,354,Regular Customers
Sean Braxton,42,27,20514.0,1,1,5,115,Regular Customers
Sean Christensen,17,33,20907.0,3,3,5,335,Regular Customers
Sean Miller,22,28,35170.0,3,2,5,325,Regular Customers
Sean O'Donnell,30,31,16366.0,2,3,3,233,At Risk
Sean Wendt,13,30,8168.0,4,2,1,421,Regular Customers
Seth Vernon,88,36,23640.0,1,4,5,145,At Risk
Shahid Collister,31,41,17678.0,2,5,4,254,At Risk
Shahid Hopkins,24,37,12979.0,2,5,2,252,At Risk
Shahid Shariari,27,37,18107.0,2,5,4,254,At Risk
Sharelle Roach,9,24,13005.0,4,1,2,412,Regular Customers
Shaun Chance,10,29,9610.0,4,2,1,421,Regular Customers
Shaun Weien,8,31,8247.0,4,3,1,431,Regular Customers
Sheri Gordon,91,31,13818.0,1,3,2,132,At Risk
Shirley Daniels,16,40,17959.0,3,5,4,354,Regular Customers
Shirley Jackson,176,29,13385.0,1,2,2,122,Lost Customers
Shirley Schmidt,1,22,7903.0,5,1,1,511,Regular Customers
Shui Tom,7,38,15006.0,4,5,3,453,Loyal Customers
Sibella Parks,17,24,7221.0,3,1,1,311,Regular Customers
Skye Norling,14,31,14225.0,3,3,3,333,Regular Customers
Sonia Cooley,28,35,10012.0,2,4,1,241,At Risk
Sonia Sunley,6,29,13118.0,5,2,2,522,Regular Customers
Speros Goranitis,76,38,12948.0,1,5,2,152,At Risk
Stefania Perrino,6,36,19418.0,5,4,4,544,Loyal Customers
Stefanie Holloman,31,29,14205.0,2,2,3,223,Regular Customers
Stephanie Phelps,21,30,11151.0,3,2,1,321,Regular Customers
Stephanie Ulpright,5,29,10779.0,5,2,1,521,Regular Customers
Steve Carroll,22,35,19823.0,3,4,4,344,Regular Customers
Steve Chapman,10,39,23401.0,4,5,5,455,Champions
Steve Nguyen,45,28,13404.0,1,2,2,122,Lost Customers
Steven Cartwright,8,37,16918.0,4,5,4,454,Loyal Customers
Steven Roelle,22,37,19374.0,3,5,4,354,Regular Customers
Steven Ward,16,38,25669.0,3,5,5,355,Regular Customers
Stewart Carmichael,41,39,16529.0,1,5,4,154,At Risk
Stewart Visinsky,22,34,17232.0,3,4,4,344,Regular Customers
Stuart Calhoun,31,26,11409.0,2,1,1,211,Lost Customers
Stuart Van,9,33,22308.0,4,3,5,435,Potential Loyalists
Sue Ann Reed,11,40,16494.0,4,5,4,454,Loyal Customers
Sung Chung,9,28,11265.0,4,2,1,421,Regular Customers
Sung Pak,55,28,13496.0,1,2,2,122,Lost Customers
Sung Shariari,15,25,5331.0,3,1,1,311,Regular Customers
Susan Gilcrest,17,28,12686.0,3,2,2,322,Regular Customers
Susan MacKendrick,38,22,8634.0,1,1,1,111,Lost Customers
Susan Pistek,7,32,29020.0,4,3,5,435,Potential Loyalists
Susan Vittorini,1,31,15689.0,5,3,3,533,Potential Loyalists
Suzanne McNair,26,38,12888.0,2,5,2,252,At Risk
Sylvia Foulston,49,23,9257.0,1,1,1,111,Lost Customers
Tamara Chand,28,36,37453.0,2,4,5,245,At Risk
Tamara Dahlen,1,28,7704.0,5,2,1,521,Regular Customers
Tamara Manning,65,30,14461.0,1,2,3,123,Regular Customers
Tamara Willingham,20,35,14256.0,3,4,3,343,Regular Customers
Tanja Norvell,23,31,9595.0,3,3,1,331,Regular Customers
Ted Butterfield,36,32,16030.0,2,3,3,233,At Risk
Ted Trevino,15,33,17245.0,3,3,4,334,Regular Customers
Thais Sissman,42,27,6787.0,1,1,1,111,Lost Customers
Thea Hendricks,7,31,15541.0,4,3,3,433,Potential Loyalists
Thea Hudgings,44,31,15353.0,1,3,3,133,At Risk
Theone Pippenger,3,43,23965.0,5,5,5,555,Champions
Theresa Coyne,12,35,22219.0,4,4,5,445,Loyal Customers
Theresa Swint,9,27,7936.0,4,1,1,411,Regular Customers
Thomas Boland,40,31,17427.0,1,3,4,134,At Risk
Thomas Brumley,50,21,11805.0,1,1,2,112,Lost Customers
Thomas Seio,27,35,14530.0,2,4,3,243,At Risk
Thomas Thornton,6,31,15055.0,5,3,3,533,Potential Loyalists
Tiffany House,9,36,16804.0,4,4,4,444,Loyal Customers
Tim Brockman,2,43,19103.0,5,5,4,554,Champions
Tim Taslimi,2,29,9780.0,5,2,1,521,Regular Customers
Toby Braunhardt,58,35,11699.0,1,4,2,142,At Risk
Toby Carlisle,13,34,20126.0,4,4,5,445,Loyal Customers
Toby Gnade,15,35,13021.0,3,4,2,342,Regular Customers
Toby Ritter,2,26,12427.0,5,1,2,512,Regular Customers
Toby Swindell,9,36,18632.0,4,4,4,444,Loyal Customers
Todd Boyes,15,28,9647.0,3,2,1,321,Regular Customers
Todd Sumrall,19,37,27775.0,3,5,5,355,Regular Customers
Tom Ashbrook,9,30,40489.0,4,2,5,425,Potential Loyalists
Tom Boeckenhauer,26,35,24480.0,2,4,5,245,At Risk
Tom Prescott,49,26,12874.0,1,1,2,112,Lost Customers
Tom Stivers,20,29,15345.0,3,2,3,323,Regular Customers
Tom Zandusky,9,35,15348.0,4,4,3,443,Loyal Customers
Tonja Turnell,13,40,20085.0,4,5,5,455,Champions
Tony Chapman,2,38,12633.0,5,5,2,552,Loyal Customers
Tony Molinari,41,35,15973.0,1,4,3,143,At Risk
Tony Sayre,12,31,19734.0,4,3,4,434,Potential Loyalists
Tracy Blumstein,19,45,20704.0,3,5,5,355,Regular Customers
Tracy Collins,1,34,11099.0,5,4,1,541,Loyal Customers
Tracy Hopkins,6,31,13095.0,5,3,2,532,Regular Customers
Tracy Poddar,15,35,13289.0,3,4,2,342,Regular Customers
Tracy Zic,36,24,10860.0,2,1,1,211,Lost Customers
Troy Blackwell,29,30,9187.0,2,2,1,221,Lost Customers
Troy Staebel,21,35,22579.0,3,4,5,345,Regular Customers
Trudy Brown,31,36,15078.0,2,4,3,243,At Risk
Trudy Glocke,6,42,18883.0,5,5,4,554,Champions
Trudy Schmidt,85,30,9980.0,1,2,1,121,Lost Customers
Valerie Dominguez,1,30,15987.0,5,2,3,523,Potential Loyalists
Valerie Mitchum,14,38,14567.0,3,5,3,353,Regular Customers
Valerie Takahito,8,32,19368.0,4,3,4,434,Potential Loyalists
Vicky Freymann,14,28,12600.0,3,2,2,322,Regular Customers
Victor Preis,29,33,12063.0,2,3,2,232,At Risk
Victoria Brennan,5,25,10745.0,5,1,1,511,Regular Customers
Victoria Pisteka,76,31,18554.0,1,3,4,134,At Risk
Victoria Wilson,7,35,17039.0,4,4,4,444,Loyal Customers
Vivek Gonzalez,111,31,10296.0,1,3,1,131,At Risk
Vivek Grady,3,27,23767.0,5,1,5,515,Potential Loyalists
Vivek Sundaresam,23,22,11413.0,3,1,1,311,Regular Customers
Vivian Mathis,9,23,3891.0,4,1,1,411,Regular Customers
William Brown,21,40,16886.0,3,5,4,354,Regular Customers
Xylona Preis,44,30,12202.0,1,2,2,122,Lost Customers
Yana Sorensen,5,32,20034.0,5,3,5,535,Potential Loyalists
Yoseph Carroll,5,31,20165.0,5,3,5,535,Potential Loyalists
Zuschuss Carroll,4,38,28485.0,5,5,5,555,Champions
Zuschuss Donatelli,2,29,12434.0,5,2,2,522,Regular Customers
